record_type,mapping_status,old_goodfire_label,feature_index,evidence_method,source_root,source_file,source_commit,blob_sha,paper_label_count_in_blob,paper_labels_sample
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/Goodfire_cooperate_variant.ipynb,f158b6b672d2108a263bb70a0246800b724cab43,62ebefdf4cb144ba995bbfaf65680d0c3d682bc4,8,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Explanatory text about complex ecological and social systems | Game theory concepts involving cooperation versus competition | Professional innovation and creative problem-solving | Technical setup and configuration states in experimental procedures"
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/creativity_torrance_test.ipynb,f158b6b672d2108a263bb70a0246800b724cab43,f994083e7e96d70e47758986679df9673ddad826,23,"Character decision-making and multi-step action sequences in narratives | Connecting phrases and transitions when reformulating text | Descriptions of comfortable outdoor living spaces and backyard amenities | Descriptions of construction materials and building methods | Descriptions of creative unconventional thinking, especially 'thinking outside the box'"
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/old_notebooks/creativity_torrance_test.ipynb,7f3c76f6f6782564fab80952d4ca95d84fd6d326,512488899cf13e04fc18006cd24e13e2e874b56c,22,Connecting phrases and transitions when reformulating text | Descriptions of construction materials and building methods | Descriptions of ergonomic grips and comfortable handling features | Descriptions of mechanical components and how they interact | Detailed technical explanations and specifications
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl_goodfire,edsl_goodfire/edsl_games/Goodfire_cooperate_variant.ipynb,2326da6b079e6b62a8f7fe1dfedd636e804c714d,6a96ad91978cd36adf5616278d29bcee948f9d4d,6,Explanatory text about complex ecological and social systems | Game theory concepts involving cooperation versus competition | Technical setup and configuration states in experimental procedures | The assistant is establishing its capabilities and boundaries | The assistant is providing a list of options
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl_goodfire,edsl_goodfire/edsl_games/Goodfire_cooperate_variant.ipynb,4db80c9006df3cea4b5a3a4f9c8b4a44e2b48abe,8fcaf0cd05e3b10752bcfb8183e755860424d91f,7,Detailed character descriptions and intimate interactions in fiction | Explanatory text about complex ecological and social systems | Game theory concepts involving cooperation versus competition | Technical setup and configuration states in experimental procedures | The assistant is establishing its capabilities and boundaries
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl_goodfire,edsl_goodfire/edsl_games/Goodfire_cooperate_variant.ipynb,2326da6b079e6b62a8f7fe1dfedd636e804c714d,a102a5d8f235f0e5c914882863b1a6d5236f0e1b,7,Detailed character descriptions and intimate interactions in fiction | Explanatory text about complex ecological and social systems | Game theory concepts involving cooperation versus competition | Technical setup and configuration states in experimental procedures | The assistant is establishing its capabilities and boundaries
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,release_repo,release_repo/data/processed/creativity/open_sae_response_only_frequency/open_sae_feature_activations.jsonl,,02e31fc6b500029ae243dab6c53385fede507eaa,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,release_repo,release_repo/data/processed/creativity/steering_provenance/steering_features.csv,,d165de49e33cb3cb82d0c680e920aa0051cde1ee,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,release_repo,release_repo/data/processed/games/ultimatum/open_sae_full/open_sae_feature_activations.jsonl,,6d40d471a059f658c52d096165f79264d8a975fe,1,Altruistic and selfless behavior or intentions
candidate_blob,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,release_repo,release_repo/docs/STEERING.md,,bcb57c8f40a3e641f69075a8dbc631ea731c2da0,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,ipynb_output_literal,edsl,edsl/Goodfire_cooperate_variant.ipynb,ce70324e866f9f86ff4ce7a0920db9620293fae6,ee1b6641f1206bc1dabaa874e7b480aff52215b4,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,ipynb_source_ast_dict,edsl,edsl/ultimatum_game.ipynb,47da8918ef1de81916322855c43d98dd8e99ca53,1b4b0eb4750e8ed23313512c2bbaa2a147060a6d,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,ipynb_source_ast_dict,edsl,edsl/ultimatum_game.ipynb,47da8918ef1de81916322855c43d98dd8e99ca53,772150905ec206a9ae8ff187c1856321b2d70e32,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_10.csv,46fe97f94791efecd8892705a2066c5b839aba13,df4745b12f8b8525fd6fa8f8451f4a8fb2841d0a,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_15.csv,46fe97f94791efecd8892705a2066c5b839aba13,343960277784e0afa6d48157d2906c01f2d56dda,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_20.csv,46fe97f94791efecd8892705a2066c5b839aba13,984c8cb47c43db61bb2ab46c50c96083fdf7407c,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_25.csv,46fe97f94791efecd8892705a2066c5b839aba13,89073ec986731f1dbc2be757e73c8e06178df7e5,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_30.csv,46fe97f94791efecd8892705a2066c5b839aba13,300c54bcc5989276c93bf10713f3d9ffdf49f4ce,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_35.csv,46fe97f94791efecd8892705a2066c5b839aba13,70ff0daef65bec1f70d5aab18677768c62fa69f7,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_40.csv,46fe97f94791efecd8892705a2066c5b839aba13,5f20c0f7a5f3900a87a8285de40124fae2df2b01,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_45.csv,46fe97f94791efecd8892705a2066c5b839aba13,db62b2b1f450b9ead5e895d74c6f2db50c1c729d,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_50.csv,46fe97f94791efecd8892705a2066c5b839aba13,f2a51403d82c51eedba318da3c25cb9be437842b,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_55.csv,46fe97f94791efecd8892705a2066c5b839aba13,d614ff2f55d327770433c6353f375af70ff142fa,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_60.csv,46fe97f94791efecd8892705a2066c5b839aba13,1c8f501769ce9439f2750950085ff9ce210283d5,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_65.csv,46fe97f94791efecd8892705a2066c5b839aba13,ae668fa85d96417f6e7734f1bc7eeb5a721b78ea,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_70.csv,46fe97f94791efecd8892705a2066c5b839aba13,abda707290f98341f7efc51193bdc04385eb3e4c,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_75.csv,46fe97f94791efecd8892705a2066c5b839aba13,3af75c7ab9f170465cdad31c5da06c212a08c950,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_80.csv,46fe97f94791efecd8892705a2066c5b839aba13,2d89f39ec1245f1e362f8a57d9d8e56f13b37368,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_85.csv,46fe97f94791efecd8892705a2066c5b839aba13,506448da658061e1f995b193baddef68ab185346,,
exact_mapping_evidence,exact_feature_index_match,Altruistic and selfless behavior or intentions,31935,csv_model_controller,release_repo,release_repo/data/raw/games/ultimatum/results_20251008_201139/ultimatum_steering_90.csv,46fe97f94791efecd8892705a2066c5b839aba13,691b9ac3dc60c953aa591bdbaab2a369f0479a85,,
exact_mapping_evidence,exact_feature_index_match,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",20117,ipynb_output_literal,edsl,edsl/Goodfire_cooperate_variant.ipynb,4ebfb3d03da1ebe9774474ce05d65c88fa957573,c5c94995e5e9db4c74c8834f1e011e6c611abbea,,
exact_mapping_evidence,exact_feature_index_match,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",20117,ipynb_output_literal,edsl,edsl/Goodfire_cooperate_variant.ipynb,4ebfb3d03da1ebe9774474ce05d65c88fa957573,c7dac7201314d50638dc3e226b336cbc36849f8c,,
exact_mapping_evidence,exact_feature_index_match,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",20117,ipynb_source_ast_dict,edsl,edsl/creativity_torrance_test.ipynb,4ebfb3d03da1ebe9774474ce05d65c88fa957573,35dce43ea7fd52cf890a860933da5c173aa43ed9,,
exact_mapping_evidence,exact_feature_index_match,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",20117,ipynb_source_ast_dict,edsl,edsl/creativity_torrance_test.ipynb,47da8918ef1de81916322855c43d98dd8e99ca53,91d1bdf18b9f861bb2b299af541045dbdf1b249c,,
exact_mapping_evidence,exact_feature_index_match,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",20117,ipynb_source_ast_dict,edsl,edsl/creativity_torrance_test.ipynb,47da8918ef1de81916322855c43d98dd8e99ca53,b370d2ceee25c772391dbbde7df5956776e580f7,,
exact_mapping_evidence,exact_feature_index_match,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",20117,csv_model_controller,release_repo,release_repo/data/raw/creativity/product_innovation_20251102_202650/high_steering.csv,46fe97f94791efecd8892705a2066c5b839aba13,40024c2c31977278a30889ad83d3a6db7fd25296,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_source_ast_dict,edsl,edsl/safe_risky_choice.ipynb,4ebfb3d03da1ebe9774474ce05d65c88fa957573,27e2ca78adef7f8236f7db9ea36543c20cf8715d,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_source_ast_dict,edsl,edsl/safe_risky_choice.ipynb,47da8918ef1de81916322855c43d98dd8e99ca53,2a40f1291256488f85e277104d6de85c762f39bf,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_source_ast_dict,edsl,edsl/safe_risky_choice.ipynb,c8618d5e0c19ab9a56d5ae69d1fc48851682fa07,3e20406776659866ce30616654f52bffd79c40ac,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_source_ast_dict,edsl,edsl/safe_risky_choice.ipynb,f158b6b672d2108a263bb70a0246800b724cab43,63737347d9d5812a0c21b1042b303b7d99c79a1d,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_source_ast_dict,edsl,edsl/safe_risky_choice.ipynb,47da8918ef1de81916322855c43d98dd8e99ca53,8b02f50d4a9b771db6d75d2d368409dfa9194c8b,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_output_literal,edsl_goodfire,edsl_goodfire/edsl_games/Goodfire_cooperate_variant.ipynb,c2e0d66cda785d84ac8c7cada701c9ef57d2ed5e,27a948c1d3b6875ae1111dbf67f93a673f6d7202,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_source_ast_dict,edsl_goodfire,edsl_goodfire/edsl_games/safe_risky_choice/safe_risky_choice.ipynb,deaa6c8a1f09d6b7851dbcce69f3066d9d5c3039,0e0a8e5ebdfbe53e4a2ddf78066184a9ef521774,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_source_ast_dict,edsl_goodfire,edsl_goodfire/edsl_games/safe_risky_choice/safe_risky_choice.ipynb,2326da6b079e6b62a8f7fe1dfedd636e804c714d,21eb09239277146f1b834cb26185d2588a7cf043,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,ipynb_source_ast_dict,edsl_goodfire,edsl_goodfire/edsl_games/safe_risky_choice/safe_risky_choice.ipynb,deaa6c8a1f09d6b7851dbcce69f3066d9d5c3039,e92f09636399aa4a08110ff5eadff0e3e47465ec,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,python_ast_dict,edsl_goodfire,edsl_goodfire/edsl_games/safe_risky_choice/safe_risky_choice.py,deaa6c8a1f09d6b7851dbcce69f3066d9d5c3039,2b06d7b36e24831c55be294aa81591a269ba4512,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,python_ast_dict,edsl_goodfire,edsl_goodfire/edsl_games/safe_risky_choice/safe_risky_choice.py,a5938a0dec0c6b8d067b8e032be67126fdc6557d,676ae96501cdfe7118d5a4e8f28b8b9bce5db03e,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,python_ast_dict,edsl_goodfire,edsl_goodfire/edsl_games/safe_risky_choice/safe_risky_choice.py,c2e0d66cda785d84ac8c7cada701c9ef57d2ed5e,a358eaee5c44c785b648f142b33fb1d87e5d3ecf,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,csv_model_controller,release_repo,release_repo/data/raw/games/safe_risky/results_20251008_225522/safe_risky_lite_steering_10.csv,126fe2ba153cc2dffe6b29dfc13665bc99d8fc82,5e9d05d4711ae1217b53776a554b80b08d3a751b,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,csv_model_controller,release_repo,release_repo/data/raw/games/safe_risky/results_20251008_225522/safe_risky_lite_steering_100.csv,126fe2ba153cc2dffe6b29dfc13665bc99d8fc82,f84c7895cff518817062a320ad26781a3aaaf8f8,,
exact_mapping_evidence,exact_feature_index_match,Executing potentially risky operations that require caution,4237,csv_model_controller,release_repo,release_repo/data/raw/games/safe_risky/results_20251008_225522/safe_risky_lite_steering_105.csv,126fe2ba153cc2dffe6b29dfc13665bc99d8fc82,f3f685dc565dbda1eabc0ed7f23338bfafaab7ca,,
